date,unit_type,status,count,notes,source,source_url,retrieved_date
2022-10-01,tiny_home,locked_in_storage,71,First reported by Danny Westneat,Seattle Times,https://www.seattletimes.com/seattle-news/the-saga-of-seattles-empty-tiny-homes-is-building-to-a-head/,2026-04-30
2024-10-05,tiny_home,locked_in_storage,250,Grown to 250+ in 3 SODO storage lots,Seattle Times,https://www.seattletimes.com/seattle-news/the-saga-of-seattles-empty-tiny-homes-is-building-to-a-head/,2026-04-30
2025-07-30,tiny_home,announced_deployment,104,Harrell announced 2 new villages (60+44 via LIHI) - ~100 to deploy leaving 150+ still locked,Mayor Harrell Office,https://harrell.seattle.gov/2025/07/30/mayor-harrell-announces-expansion-of-available-shelter-adding-more-than-100-new-tiny-houses/,2026-04-30
2026-01-09,tiny_home,locked_in_storage,150,Estimated remaining after ~100 deployed to LIHI villages; 65 sent to Tacoma,Seattle Times,https://www.seattletimes.com/seattle-news/the-saga-of-seattles-empty-tiny-homes-is-building-to-a-head/,2026-04-30
2026-01-06,tiny_home,deployed_wilson,0,Mayor Wilson's first day - no new units yet,Baseline,NA,2026-04-30
2026-01-15,tiny_home,executive_order,0,Wilson issues EO to accelerate shelter; interdepartmental team to identify sites; recommendations due March 2026,Mayor Wilson Office,https://wilson.seattle.gov/2026/01/15/mayor-wilson-announces-executive-orders-to-accelerate-shelter-and-improve-transit/,2026-04-30
2026-01-30,tiny_home,proposed_west_seattle,1,Combined RV safe lot + tiny home village proposed on state-owned SE West Seattle site; LIHI operator,West Seattle Blog,https://westseattleblog.com/2026/01/combined-rv-safe-lot-tiny-house-village-proposed-for-southeast-west-seattle-site-thats-seen-encampments-before/,2026-04-30
2026-02-01,tiny_home,deployed_wilson,45,Olympic Hills Village opens in Lake City (3121 NE 133rd St); LIHI + PDA partnership; 45 units with 24/7 staffing,Hoodline / KOMO,https://hoodline.com/2026/02/lake-city-tiny-house-village-throws-open-its-doors-to-neighbors-in-need/,2026-04-30
2026-02-24,tiny_home,confirmed_west_seattle,1,West Seattle RV/THV site officially announced with religious sponsor,West Seattle Blog,https://westseattleblog.com/2026/02/followup-site-name-religious-sponsor-revealed-in-official-announcement-of-west-seattle-rv-tiny-house-site/,2026-04-30
2026-03-04,tiny_home,wilson_legislation_target,1000,Wilson Neighbor-by-Neighbor legislation: 1000 new shelter units in 2026; $4.8M allocated; lifts per-site cap 100->150 (250 per district); direct lease-signing authority for FAS Director,Mayor Wilson Office,https://wilson.seattle.gov/2026/03/04/neighbor-by-neighbor-mayor-announces-legislation-to-rapidly-expand-shelter-and-calls-on-whole-city-to-be-part-of-the-solution/,2026-04-30
